            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,             X_s,             Y_s,             Z_s,
2384616.500000000, A.D. 1816-Oct-04 00:00:00.0000, -7.385386605789162E+08,  1.685759320626467E+08,  9.644038071222001E+07,  7.98539211E+01,  2.83371152E+02,  1.17768317E+02,
2384676.500000000, A.D. 1816-Dec-03 00:00:00.0000, -7.514721794610058E+08,  1.031728250592421E+08,  8.029802889868601E+07,  6.64036839E+01,  2.88002423E+02,  1.17162382E+02,
2384736.500000000, A.D. 1817-Feb-01 00:00:00.0000, -7.583660783247645E+08,  3.694590655251252E+07,  6.351254991980684E+07,  5.89334768E+01,  2.90453113E+02,  1.16059207E+02,
2384796.500000000, A.D. 1817-Apr-02 00:00:00.0000, -7.591459316385716E+08, -2.957347916414218E+07,  4.621723295342147E+07,  6.03766753E+01,  2.90667308E+02,  1.14471472E+02,
2384856.500000000, A.D. 1817-Jun-01 00:00:00.0000, -7.537875950522282E+08, -9.584832979606958E+07,  2.855040538700511E+07,  7.04016740E+01,  2.88620046E+02,  1.12422682E+02,
2384916.500000000, A.D. 1817-Jul-31 00:00:00.0000, -7.423180037294888E+08, -1.613406472874271E+08,  1.065427467989028E+07,  8.59499176E+01,  2.84317798E+02,  1.09948271E+02,
2384976.500000000, A.D. 1817-Sep-29 00:00:00.0000, -7.248154678657547E+08, -2.255162088522164E+08, -7.326294701109291E+06,  1.04261581E+02,  2.77798439E+02,  1.07096703E+02,
2385036.500000000, A.D. 1817-Nov-28 00:00:00.0000, -7.014094682287821E+08, -2.878493970291881E+08, -2.524505536895688E+07,  1.23659858E+02,  2.69130775E+02,  1.03930535E+02,
2385096.500000000, A.D. 1818-Jan-27 00:00:00.0000, -6.722799259988368E+08, -3.478280194822802E+08, -4.295568465431539E+07,  1.43165748E+02,  2.58413709E+02,  1.00527367E+02,
2385156.500000000, A.D. 1818-Mar-28 00:00:00.0000, -6.376559412937891E+08, -4.049580633699464E+08, -6.031311326079488E+07,  1.62160159E+02,  2.45775157E+02,  9.69805077E+01,
2385216.500000000, A.D. 1818-May-27 00:00:00.0000, -5.978139995922635E+08, -4.587683210153600E+08, -7.717485880326211E+07,  1.80212598E+02,  2.31370933E+02,  9.33990644E+01,
2385276.500000000, A.D. 1818-Jul-26 00:00:00.0000, -5.530756748013477E+08, -5.088148325143113E+08, -9.340234619636209E+07,  1.97001233E+02,  2.15383913E+02,  8.99069754E+01,
2385336.500000000, A.D. 1818-Sep-24 00:00:00.0000, -5.038048355290139E+08, -5.546850663328459E+08, -1.088621951869169E+08,  2.12275005E+02,  1.98024033E+02,  8.66402452E+01,
2385396.500000000, A.D. 1818-Nov-23 00:00:00.0000, -4.504043859384162E+08, -5.960017976381269E+08, -1.234274630790488E+08,  2.25834966E+02,  1.79530048E+02,  8.37415009E+01,
